node1,node2,free_bw,used_bw,delay,pkloss
1,3,99880.703437,119296.56275,0.931263,0.0
1,7,97865.024985,2134655.056701,0.0,0.013972
1,16,97763.021583,2236010.695741,0.882149,0.0
2,4,98131.686157,1867624.840788,0.958681,0.029291
2,7,98002.022786,1997381.571057,0.0,0.026123
2,12,99885.433283,114560.991741,0.767946,0.0
2,13,99947.386307,52605.807408,1.296282,0.0
2,18,24869.945027,130048.473664,0.90313,0.0
2,23,24873.567216,126426.46576,1.385093,0.0
3,10,99887.84972,112150.279776,0.970483,0.0
3,11,24998.616692,1383.101015,0.910163,0.0
3,14,1547.426059,2573.940847,1.463056,0.0
3,21,99996.234259,3765.176203,0.765324,0.0
4,16,98131.872876,1867531.481111,0.997782,0.0293
5,8,24838.968516,161007.348844,1.088977,0.029308
5,16,24838.968516,161023.437512,0.826359,0.0
6,7,1479.522287,70470.671234,0.0,0.0
6,19,1549.808153,191.846523,1.084447,0.0
7,17,99755.594643,244405.356786,0.0,0.030021
7,19,24962.878273,37118.017758,0.0,0.0
7,21,99958.113132,41886.867879,0.0,0.0
8,9,23383.23406,1616604.39308,1.171231,0.038895
9,15,22854.136932,2145755.83965,1.175046,0.013879
9,16,98382.042774,1617957.225665,1.052022,0.0
10,11,24996.233883,3765.552476,0.792027,0.0
10,12,99819.906047,180066.960525,0.934482,0.0
10,16,97783.269384,2215760.870417,0.7447,0.035014
10,17,97776.345289,2222907.81515,0.950694,0.034807
12,22,99949.769115,50228.37452,0.745773,0.0
13,14,1547.426059,2573.940847,0.994563,0.0
13,17,99925.941029,74051.569798,1.073241,0.0
13,19,24961.694644,38305.355715,1.21963,0.0
15,20,22855.28036,2144719.64018,1.040936,0.0
17,20,97854.088956,2145803.813264,1.063704,0.0
17,23,24873.51924,126480.75962,1.00708,0.0
18,21,24997.425287,2574.583985,0.297666,0.0
20,22,24999.808096,191.904048,1.050353,0.0
